titulo_puesto,empresa,carrera_requerida,provincia,experiencia_requerida,salario_minimo,salario_maximo,fecha_publicacion,sector
Ingeniero Mecánico,CNT,Ingeniería Eléctrica,Tungurahua,Sin experiencia,940,1050,2025-11-05,Público
Ejecutivo de Ventas,Holcim Ecuador,Comunicación Social,El Oro,Sin experiencia,591,682,2025-11-03,Privado
Jefe de Recursos Humanos,Holcim Ecuador,Administración de Empresas,Guayas,3 años,1297,1514,2025-11-13,Privado
Médico General,Schlumberger,Enfermería,Tungurahua,1 año,671,821,2025-10-26,Privado
Desarrollador Full Stack,Ministerio de Educación,Ingeniería en Sistemas,Azuay,2 años,1419,1634,2025-10-05,Público
Especialista en SEO,La Fabril,Comunicación Social,El Oro,1 año,774,970,2025-11-19,Privado
Analista de Recursos Humanos,Corporación El Rosado,Contabilidad y Auditoría,Guayas,4 años,1349,1539,2025-09-30,Privado
Médico General,Pronaca,Medicina,Guayas,1 año,1512,1951,2025-10-18,Privado
Auditor,IESS,Contabilidad y Auditoría,Guayas,2 años,922,1092,2025-10-11,Público
Ingeniero Eléctrico,Fybeca,Ingeniería Civil,Pichincha,4 años,1632,2088,2025-11-02,Privado
Tecnólogo Médico,Corporación Favorita,Medicina,Manabí,3 años,2254,2864,2025-10-03,Privado
Médico General,ARCA Continental,Enfermería,Manabí,1 año,685,781,2025-10-25,Privado
Analista de Marketing Digital,OCP Ecuador,Comunicación Social,Guayas,3 años,1051,1277,2025-11-12,Privado
Odontólogo/a,IESS,Medicina,Pichincha,2 años,1958,2443,2025-10-22,Público
Asistente Contable,Ministerio de Salud,Contabilidad y Auditoría,Guayas,2 años,1053,1326,2025-10-23,Público
Ingeniero Ambiental,Grupo Wright,Ingeniería Industrial,Pichincha,Sin experiencia,871,960,2025-10-25,Privado
Tecnólogo Médico,Nestlé Ecuador,Enfermería,Azuay,Sin experiencia,544,632,2025-09-15,Privado
Psicólogo Clínico,Ministerio de Educación,Enfermería,El Oro,3 años,898,1103,2025-10-26,Público
Ingeniero Civil,Movistar Ecuador,Ingeniería Industrial,El Oro,2 años,1235,1438,2025-09-25,Privado
Ingeniero Industrial,Banco Pichincha,Ingeniería Civil,Guayas,2 años,1324,1493,2025-11-06,Privado
Desarrollador Full Stack,IESS,Ingeniería en Sistemas,El Oro,3 años,1734,2036,2025-10-30,Público
Asistente Contable,EP Petroecuador,Administración de Empresas,Guayas,3 años,1369,1770,2025-12-01,Privado
Jefe de Recursos Humanos,Unilever Andina,Administración de Empresas,Guayas,1 año,815,929,2025-10-28,Privado
Analista Financiero,Universidad San Francisco,Contabilidad y Auditoría,Pichincha,2 años,1014,1182,2025-11-06,Privado
Ingeniero de Software,Halliburton,Ingeniería en Sistemas,Pichincha,Sin experiencia,967,1211,2025-11-13,Privado
Contador,Nestlé Ecuador,Administración de Empresas,Pichincha,3 años,1221,1397,2025-10-30,Privado
Enfermero/a,Industrias Ales,Medicina,Manabí,3 años,2303,2927,2025-11-14,Privado
Ingeniero Industrial,Banco Pichincha,Ingeniería Industrial,Azuay,5+ años,1990,2547,2025-10-09,Privado
Jefe de Recursos Humanos,Corporación GPF,Administración de Empresas,Tungurahua,Sin experiencia,744,832,2025-11-09,Privado
Ejecutivo de Ventas,Consorcio Nobis,Comunicación Social,Guayas,Sin experiencia,601,757,2025-09-25,Privado
Ingeniero Mecánico,Nestlé Ecuador,Ingeniería Civil,El Oro,1 año,1078,1377,2025-09-20,Privado
Ingeniero Eléctrico,Claro Ecuador,Ingeniería Civil,Guayas,1 año,1150,1334,2025-12-06,Privado
Técnico Industrial,Almacenes Juan Eljuri,Ingeniería Industrial,Tungurahua,1 año,1015,1295,2025-09-23,Privado
Asistente Contable,Corporación GPF,Contabilidad y Auditoría,El Oro,4 años,1189,1483,2025-09-11,Privado
Médico General,Ministerio de Salud,Enfermería,Guayas,1 año,632,775,2025-10-07,Público
Asistente Contable,Universidad San Francisco,Administración de Empresas,Pichincha,1 año,912,1091,2025-10-21,Privado
Técnico Industrial,Schlumberger,Ingeniería Civil,Manabí,3 años,1691,2013,2025-10-10,Privado
Jefe de Mantenimiento,Unilever Andina,Ingeniería Eléctrica,El Oro,2 años,1261,1580,2025-10-20,Privado
Contador,Claro Ecuador,Contabilidad y Auditoría,Azuay,3 años,1188,1422,2025-11-16,Privado
Ingeniero Mecánico,Hospital Metropolitano,Ingeniería Industrial,Tungurahua,Sin experiencia,762,957,2025-10-31,Privado
Analista de Business Intelligence,Consorcio Nobis,Ingeniería en Sistemas,Pichincha,2 años,1361,1621,2025-09-21,Privado
Médico Especialista,Diners Club,Medicina,Guayas,Sin experiencia,1289,1497,2025-11-01,Privado
Ingeniero Mecánico,Grupo Wright,Ingeniería Eléctrica,Guayas,Sin experiencia,861,1109,2025-11-11,Privado
Ingeniero Industrial,Ministerio de Educación,Ingeniería Civil,Pichincha,4 años,1653,2064,2025-11-13,Público
Diseñador Gráfico,Almacenes Juan Eljuri,Comunicación Social,Tungurahua,Sin experiencia,545,657,2025-11-15,Privado
Ingeniero de Proyectos,CNT,Ingeniería Civil,Azuay,2 años,1229,1519,2025-11-27,Público
Ejecutivo de Ventas,Corporación El Rosado,Comunicación Social,Tungurahua,2 años,979,1196,2025-10-02,Privado
Community Manager,Schlumberger,Marketing,Azuay,1 año,831,1000,2025-10-30,Privado
Jefe de Mantenimiento,Universidad San Francisco,Ingeniería Industrial,Guayas,4 años,1670,1937,2025-09-16,Privado
Coordinador de Publicidad,Produbanco,Marketing,Guayas,Sin experiencia,737,901,2025-09-15,Privado
Arquitecto de Software,Consorcio Nobis,Ingeniería en Sistemas,Guayas,3 años,1673,1893,2025-10-08,Privado
Odontólogo/a,Halliburton,Enfermería,Manabí,5+ años,1425,1638,2025-10-21,Privado
Fisioterapeuta,Movistar Ecuador,Medicina,Guayas,2 años,1941,2183,2025-11-20,Privado
Auditor,ARCA Continental,Administración de Empresas,Guayas,4 años,1489,1864,2025-09-08,Privado
Médico Especialista,Produbanco,Medicina,Tungurahua,Sin experiencia,1104,1353,2025-11-06,Privado
Jefe de Mantenimiento,Produbanco,Ingeniería Civil,Pichincha,2 años,1330,1625,2025-09-26,Privado
Nutricionista,Movistar Ecuador,Medicina,Pichincha,1 año,1464,1871,2025-09-21,Privado
Ingeniero de Calidad,CNT,Ingeniería Industrial,El Oro,3 años,1453,1829,2025-10-14,Público
Ingeniero de Proyectos,Nestlé Ecuador,Ingeniería Civil,Pichincha,5+ años,2418,2951,2025-11-22,Privado
Auditor,Moderna Alimentos,Contabilidad y Auditoría,El Oro,1 año,874,1035,2025-11-27,Privado
Psicólogo Clínico,Movistar Ecuador,Medicina,Azuay,3 años,2158,2515,2025-12-01,Privado
Especialista en SEO,OCP Ecuador,Marketing,Pichincha,1 año,782,986,2025-10-08,Privado
Brand Manager,Ministerio de Educación,Comunicación Social,Tungurahua,2 años,888,1023,2025-12-06,Público
Ingeniero de Proyectos,Repsol Ecuador,Ingeniería Industrial,Tungurahua,2 años,1204,1547,2025-10-25,Privado
Scrum Master,Nestlé Ecuador,Ingeniería en Sistemas,Tungurahua,5+ años,2562,3147,2025-09-19,Privado
Analista de Marketing Digital,Unilever Andina,Comunicación Social,Guayas,2 años,874,1078,2025-11-23,Privado
Tecnólogo Médico,Pronaca,Enfermería,Azuay,1 año,720,855,2025-11-04,Privado
Coordinador de Publicidad,Pronaca,Comunicación Social,Manabí,Sin experiencia,637,780,2025-11-01,Privado
Administrador de Sistemas,EP Petroecuador,Ingeniería en Sistemas,Pichincha,1 año,1231,1435,2025-10-14,Privado
Médico General,La Fabril,Enfermería,Azuay,1 año,680,840,2025-10-22,Privado
Ingeniero Ambiental,ARCA Continental,Ingeniería Civil,Pichincha,1 año,1061,1315,2025-11-27,Privado
Diseñador Gráfico,IESS,Marketing,Tungurahua,4 años,1433,1733,2025-10-18,Público
Nutricionista,EP Petroecuador,Enfermería,Manabí,2 años,899,1048,2025-11-24,Privado
Ingeniero Eléctrico,Universidad San Francisco,Ingeniería Eléctrica,Azuay,2 años,1214,1510,2025-11-27,Privado
Nutricionista,Moderna Alimentos,Enfermería,El Oro,Sin experiencia,524,616,2025-10-10,Privado
Supervisor de Obra,Hospital Metropolitano,Ingeniería Industrial,Manabí,4 años,1726,2159,2025-09-28,Privado
Asistente Administrativo,Unilever Andina,Contabilidad y Auditoría,Guayas,3 años,1138,1458,2025-12-05,Privado
Ingeniero Ambiental,EP Petroecuador,Ingeniería Eléctrica,Manabí,Sin experiencia,900,1003,2025-09-18,Privado
Farmacéutico/a,Schlumberger,Medicina,Azuay,3 años,1951,2278,2025-10-22,Privado
Odontólogo/a,Repsol Ecuador,Enfermería,Pichincha,2 años,897,1118,2025-10-14,Privado
Analista de E-commerce,OCP Ecuador,Comunicación Social,Azuay,Sin experiencia,659,783,2025-09-12,Privado
Ingeniero de Proyectos,Corporación El Rosado,Ingeniería Civil,El Oro,2 años,1450,1602,2025-10-05,Privado
Ingeniero Eléctrico,Ministerio de Educación,Ingeniería Civil,Manabí,2 años,1359,1553,2025-09-08,Público
Ejecutivo de Ventas,Corporación Favorita,Marketing,Tungurahua,1 año,847,1006,2025-11-17,Privado
Técnico Industrial,Ministerio de Salud,Ingeniería Eléctrica,Manabí,4 años,1649,1984,2025-10-28,Público
Content Manager,Claro Ecuador,Comunicación Social,El Oro,3 años,1112,1304,2025-10-10,Privado
Nutricionista,Corporación GPF,Enfermería,Guayas,3 años,944,1105,2025-12-04,Privado
Jefe de Recursos Humanos,SRI,Administración de Empresas,Tungurahua,2 años,1097,1227,2025-11-10,Público
Ingeniero de Proyectos,Universidad San Francisco,Ingeniería Industrial,Pichincha,2 años,1273,1554,2025-10-21,Privado
Ingeniero Eléctrico,La Fabril,Ingeniería Eléctrica,Azuay,3 años,1562,1734,2025-11-25,Privado
Jefe de Mantenimiento,Tecnipak,Ingeniería Industrial,Pichincha,2 años,1308,1483,2025-11-17,Privado
Ingeniero de Proyectos,Cervecería Nacional,Ingeniería Industrial,Azuay,Sin experiencia,796,988,2025-09-15,Privado
Gerente de Operaciones,Movistar Ecuador,Contabilidad y Auditoría,Tungurahua,2 años,912,1166,2025-09-10,Privado
Brand Manager,Tecnipak,Comunicación Social,El Oro,3 años,1105,1244,2025-10-27,Privado
Jefe de Mantenimiento,Produbanco,Ingeniería Civil,Tungurahua,2 años,1372,1592,2025-10-06,Privado
Coordinador de Publicidad,Halliburton,Comunicación Social,Guayas,Sin experiencia,631,817,2025-11-21,Privado
Asistente Administrativo,Cervecería Nacional,Contabilidad y Auditoría,El Oro,3 años,1177,1432,2025-09-16,Privado
Analista de Marketing Digital,Almacenes Juan Eljuri,Comunicación Social,Manabí,1 año,784,977,2025-10-08,Privado
Diseñador Gráfico,EP Petroecuador,Comunicación Social,Pichincha,1 año,772,925,2025-09-22,Privado
Gerente de Operaciones,Nestlé Ecuador,Contabilidad y Auditoría,Manabí,1 año,811,1046,2025-10-26,Privado
Tecnólogo Médico,Industrias Ales,Enfermería,Guayas,1 año,748,850,2025-10-16,Privado
Contador,Tecnipak,Contabilidad y Auditoría,Azuay,3 años,1119,1272,2025-10-28,Privado
Ingeniero Eléctrico,Fybeca,Ingeniería Civil,El Oro,2 años,1355,1582,2025-09-19,Privado
Ingeniero Ambiental,Corporación Favorita,Ingeniería Eléctrica,Tungurahua,1 año,1003,1215,2025-12-03,Privado
Gerente de Operaciones,CNT,Contabilidad y Auditoría,Pichincha,4 años,1398,1685,2025-09-07,Público
Asistente Contable,Produbanco,Contabilidad y Auditoría,Pichincha,4 años,1356,1645,2025-10-24,Privado
Odontólogo/a,Ministerio de Salud,Medicina,El Oro,4 años,2458,2793,2025-10-04,Público
Gerente de Operaciones,Corporación El Rosado,Contabilidad y Auditoría,Tungurahua,1 año,779,884,2025-11-02,Privado
Gerente General,Corporación El Rosado,Administración de Empresas,Manabí,2 años,978,1083,2025-11-14,Privado
Psicólogo Clínico,Diners Club,Medicina,Pichincha,5+ años,2909,3304,2025-11-12,Privado
Gerente de Operaciones,Moderna Alimentos,Administración de Empresas,Guayas,3 años,1286,1671,2025-10-20,Privado
Ingeniero de Proyectos,Repsol Ecuador,Ingeniería Industrial,Manabí,Sin experiencia,871,1074,2025-09-15,Privado
Auditor,Corporación GPF,Contabilidad y Auditoría,Guayas,Sin experiencia,606,765,2025-10-01,Privado
Médico General,Fybeca,Enfermería,Pichincha,2 años,909,1167,2025-11-30,Privado
Analista de Marketing Digital,Almacenes Juan Eljuri,Comunicación Social,Pichincha,4 años,1239,1442,2025-11-13,Privado
Analista de E-commerce,Almacenes Juan Eljuri,Comunicación Social,Manabí,2 años,946,1162,2025-10-13,Privado
Contador,ARCA Continental,Contabilidad y Auditoría,Guayas,2 años,920,1127,2025-10-28,Privado
Tecnólogo Médico,OCP Ecuador,Enfermería,Manabí,Sin experiencia,506,567,2025-11-17,Privado
Técnico Industrial,Repsol Ecuador,Ingeniería Industrial,Azuay,3 años,1399,1758,2025-10-13,Privado
Analista de Business Intelligence,Pronaca,Ingeniería en Sistemas,Guayas,3 años,1830,2125,2025-11-21,Privado
Coordinador de Publicidad,EP Petroecuador,Comunicación Social,El Oro,1 año,722,801,2025-09-10,Privado
Especialista en Ciberseguridad,Repsol Ecuador,Ingeniería en Sistemas,Guayas,3 años,1630,1968,2025-12-03,Privado
Médico Especialista,Almacenes Juan Eljuri,Enfermería,Guayas,5+ años,1402,1733,2025-09-12,Privado
Ingeniero Mecánico,La Fabril,Ingeniería Civil,Guayas,1 año,1186,1473,2025-09-16,Privado
Jefe de Mantenimiento,IESS,Ingeniería Civil,Tungurahua,2 años,1357,1496,2025-10-25,Público
Ingeniero Mecánico,Diners Club,Ingeniería Civil,Pichincha,1 año,1188,1463,2025-10-19,Privado
Asistente Contable,Ministerio de Educación,Administración de Empresas,Azuay,3 años,1365,1611,2025-09-26,Público
Analista de Recursos Humanos,SRI,Administración de Empresas,Tungurahua,2 años,1116,1424,2025-10-31,Público
Gerente de Marketing,IESS,Comunicación Social,El Oro,2 años,942,1087,2025-12-04,Público
Arquitecto de Software,Halliburton,Ingeniería en Sistemas,Manabí,3 años,1605,2054,2025-11-08,Privado
Analista de E-commerce,Banco Pichincha,Marketing,El Oro,1 año,882,977,2025-11-03,Privado
Auditor,Holcim Ecuador,Administración de Empresas,El Oro,4 años,1328,1503,2025-11-08,Privado
Odontólogo/a,Universidad San Francisco,Medicina,Guayas,2 años,1959,2255,2025-12-03,Privado
Psicólogo Clínico,Diners Club,Enfermería,Azuay,1 año,749,863,2025-09-22,Privado
Fisioterapeuta,OCP Ecuador,Enfermería,Tungurahua,3 años,1047,1193,2025-11-12,Privado
DevOps Engineer,Industrias Ales,Ingeniería en Sistemas,Pichincha,3 años,1549,1715,2025-10-26,Privado
Gerente de Operaciones,Holcim Ecuador,Administración de Empresas,Guayas,1 año,888,1042,2025-09-25,Privado
Técnico Industrial,Pronaca,Ingeniería Industrial,El Oro,4 años,1738,2178,2025-10-01,Privado
Supervisor de Obra,Pronaca,Ingeniería Civil,Tungurahua,4 años,1589,1796,2025-10-09,Privado
Jefe de Recursos Humanos,La Fabril,Administración de Empresas,Guayas,1 año,972,1080,2025-10-25,Privado
Analista Financiero,Grupo Wright,Administración de Empresas,Pichincha,5+ años,1701,2084,2025-10-19,Privado
Ingeniero Civil,ARCA Continental,Ingeniería Industrial,Pichincha,Sin experiencia,854,1042,2025-10-13,Privado
Ingeniero Industrial,Corporación El Rosado,Ingeniería Eléctrica,Tungurahua,1 año,1202,1335,2025-12-03,Privado
Tecnólogo Médico,Almacenes Juan Eljuri,Medicina,Tungurahua,1 año,1355,1685,2025-10-18,Privado
Asistente Administrativo,Corporación El Rosado,Contabilidad y Auditoría,Pichincha,4 años,1327,1461,2025-09-07,Privado
Community Manager,Repsol Ecuador,Comunicación Social,Tungurahua,3 años,970,1110,2025-11-26,Privado
Scrum Master,Holcim Ecuador,Ingeniería en Sistemas,Pichincha,1 año,1235,1583,2025-11-19,Privado
Psicólogo Clínico,Repsol Ecuador,Enfermería,Manabí,2 años,908,1041,2025-11-08,Privado
Gerente de Marketing,Fybeca,Comunicación Social,El Oro,2 años,891,1143,2025-09-26,Privado
Ingeniero de Proyectos,Corporación GPF,Ingeniería Industrial,Guayas,Sin experiencia,743,911,2025-09-29,Privado
Psicólogo Clínico,CNT,Enfermería,Azuay,4 años,1173,1391,2025-10-15,Público
Asistente Administrativo,La Fabril,Administración de Empresas,Manabí,3 años,1313,1586,2025-10-06,Privado
Odontólogo/a,Fybeca,Enfermería,Guayas,2 años,914,1082,2025-10-30,Privado
Jefe de Mantenimiento,ARCA Continental,Ingeniería Industrial,Manabí,5+ años,1985,2317,2025-12-01,Privado
Odontólogo/a,Almacenes Juan Eljuri,Enfermería,Guayas,2 años,797,990,2025-11-18,Privado
Técnico Industrial,Corporación GPF,Ingeniería Civil,Manabí,5+ años,2221,2782,2025-10-29,Privado
Analista Financiero,IESS,Contabilidad y Auditoría,Manabí,3 años,1039,1165,2025-11-29,Público
Ingeniero Ambiental,Halliburton,Ingeniería Industrial,Pichincha,2 años,1127,1315,2025-09-27,Privado
Médico Especialista,Tecnipak,Enfermería,Guayas,1 año,762,841,2025-10-03,Privado
Farmacéutico/a,EP Petroecuador,Enfermería,Azuay,4 años,1228,1517,2025-09-26,Privado
Farmacéutico/a,Ministerio de Salud,Enfermería,Guayas,2 años,825,984,2025-09-23,Público
Supervisor de Obra,Almacenes Juan Eljuri,Ingeniería Industrial,El Oro,1 año,1025,1134,2025-09-19,Privado
Enfermero/a,Corporación Favorita,Medicina,Pichincha,Sin experiencia,1300,1656,2025-10-19,Privado
Nutricionista,Fybeca,Medicina,Guayas,2 años,1887,2437,2025-10-16,Privado
Nutricionista,Universidad San Francisco,Medicina,Tungurahua,2 años,1945,2313,2025-10-20,Privado
Analista Financiero,Produbanco,Administración de Empresas,Pichincha,3 años,1336,1512,2025-09-26,Privado
Asistente Contable,Unilever Andina,Administración de Empresas,Tungurahua,4 años,1558,1841,2025-11-17,Privado
Jefe de Mantenimiento,Movistar Ecuador,Ingeniería Eléctrica,El Oro,Sin experiencia,941,1082,2025-09-21,Privado
Coordinador Administrativo,Nestlé Ecuador,Administración de Empresas,Pichincha,3 años,1168,1373,2025-10-25,Privado
Ingeniero Industrial,Corporación Favorita,Ingeniería Industrial,Tungurahua,1 año,1037,1310,2025-11-02,Privado
Analista de E-commerce,EP Petroecuador,Comunicación Social,Manabí,4 años,1294,1674,2025-12-01,Privado
Especialista en SEO,Hospital Metropolitano,Comunicación Social,Pichincha,3 años,1131,1259,2025-09-24,Privado
Gerente de Marketing,Schlumberger,Comunicación Social,Guayas,2 años,829,1066,2025-12-01,Privado
Supervisor de Obra,Diners Club,Ingeniería Civil,El Oro,3 años,1630,2049,2025-10-22,Privado
Brand Manager,Corporación Favorita,Comunicación Social,Tungurahua,1 año,808,956,2025-09-28,Privado
Analista Financiero,Ministerio de Salud,Contabilidad y Auditoría,Tungurahua,2 años,917,1104,2025-09-10,Público
Supervisor de Obra,CNT,Ingeniería Industrial,Pichincha,3 años,1441,1786,2025-10-10,Público
Ingeniero de Calidad,Hospital Metropolitano,Ingeniería Industrial,Pichincha,2 años,1145,1487,2025-11-30,Privado
Ingeniero Mecánico,Hospital Metropolitano,Ingeniería Industrial,Tungurahua,1 año,906,1154,2025-11-25,Privado
Scrum Master,Corporación Favorita,Ingeniería en Sistemas,Azuay,2 años,1405,1799,2025-10-25,Privado
Médico General,Movistar Ecuador,Enfermería,El Oro,3 años,955,1120,2025-11-11,Privado
Tecnólogo Médico,Hospital Metropolitano,Enfermería,Guayas,1 año,762,947,2025-11-16,Privado
Jefe de Mantenimiento,Diners Club,Ingeniería Civil,Azuay,1 año,1008,1199,2025-12-01,Privado
Nutricionista,Grupo Wright,Medicina,Pichincha,3 años,1899,2137,2025-09-20,Privado
Ingeniero Mecánico,EP Petroecuador,Ingeniería Civil,Azuay,3 años,1406,1707,2025-10-07,Privado
Enfermero/a,Banco Pichincha,Medicina,El Oro,Sin experiencia,1083,1366,2025-11-25,Privado
Odontólogo/a,La Fabril,Medicina,El Oro,1 año,1612,2026,2025-09-20,Privado
Analista de Marketing Digital,Cervecería Nacional,Comunicación Social,El Oro,Sin experiencia,556,713,2025-09-17,Privado
Gerente de Operaciones,OCP Ecuador,Administración de Empresas,Pichincha,1 año,887,1097,2025-10-03,Privado
Analista de Datos,Repsol Ecuador,Ingeniería en Sistemas,Azuay,2 años,1476,1680,2025-10-02,Privado
Técnico Industrial,EP Petroecuador,Ingeniería Industrial,Manabí,3 años,1340,1655,2025-09-14,Privado
Ingeniero Industrial,Grupo Wright,Ingeniería Industrial,Pichincha,3 años,1282,1659,2025-10-10,Privado
Gerente General,Ministerio de Salud,Administración de Empresas,El Oro,2 años,998,1249,2025-10-01,Público
Jefe de Recursos Humanos,Ministerio de Educación,Administración de Empresas,Guayas,1 año,881,1116,2025-10-14,Público
Content Manager,Grupo Wright,Comunicación Social,El Oro,3 años,1004,1190,2025-10-21,Privado
Ingeniero de Proyectos,Banco Pichincha,Ingeniería Civil,El Oro,2 años,1423,1759,2025-10-13,Privado
Gerente de Operaciones,Cervecería Nacional,Administración de Empresas,Pichincha,5+ años,1797,2301,2025-09-14,Privado
Content Manager,OCP Ecuador,Comunicación Social,El Oro,2 años,947,1177,2025-09-08,Privado
Nutricionista,Corporación GPF,Medicina,El Oro,Sin experiencia,1243,1535,2025-09-15,Privado
Gerente de Marketing,Universidad San Francisco,Comunicación Social,Manabí,3 años,1020,1287,2025-10-24,Privado
Ingeniero Ambiental,Moderna Alimentos,Ingeniería Industrial,Azuay,1 año,1009,1260,2025-10-06,Privado
Diseñador Gráfico,Pronaca,Comunicación Social,El Oro,3 años,1019,1215,2025-11-05,Privado
Asistente Contable,La Fabril,Contabilidad y Auditoría,Manabí,Sin experiencia,633,714,2025-10-26,Privado
Médico General,Consorcio Nobis,Enfermería,Azuay,1 año,683,870,2025-09-26,Privado
Nutricionista,Banco Pichincha,Enfermería,Manabí,4 años,1185,1460,2025-09-29,Privado
Analista de Recursos Humanos,EP Petroecuador,Administración de Empresas,Guayas,1 año,827,974,2025-09-26,Privado
Especialista en SEO,Ministerio de Salud,Marketing,Pichincha,3 años,1189,1345,2025-11-16,Público
Ejecutivo de Ventas,Ministerio de Salud,Marketing,Manabí,1 año,868,1041,2025-11-01,Público
Coordinador Administrativo,Cervecería Nacional,Administración de Empresas,Azuay,2 años,1179,1312,2025-10-18,Privado
Técnico Industrial,Diners Club,Ingeniería Industrial,Guayas,3 años,1325,1707,2025-10-04,Privado
Auxiliar de Enfermería,Banco Pichincha,Enfermería,Azuay,2 años,862,1006,2025-10-16,Privado
Content Manager,Unilever Andina,Comunicación Social,Tungurahua,1 año,694,802,2025-10-24,Privado
Jefe de Recursos Humanos,Industrias Ales,Administración de Empresas,Pichincha,1 año,813,954,2025-10-08,Privado
Supervisor de Obra,Ministerio de Educación,Ingeniería Civil,Azuay,Sin experiencia,903,1156,2025-11-06,Público
Coordinador de Publicidad,Hospital Metropolitano,Marketing,Tungurahua,1 año,899,1114,2025-09-23,Privado
Analista de Recursos Humanos,Ministerio de Educación,Contabilidad y Auditoría,El Oro,3 años,1140,1308,2025-10-08,Público
Técnico Industrial,Industrias Ales,Ingeniería Industrial,Pichincha,4 años,1540,1965,2025-10-26,Privado
Analista de Recursos Humanos,Universidad San Francisco,Administración de Empresas,Pichincha,4 años,1448,1726,2025-10-11,Privado
Auxiliar de Enfermería,Repsol Ecuador,Medicina,Guayas,3 años,2222,2566,2025-09-25,Privado
Asistente Administrativo,Industrias Ales,Contabilidad y Auditoría,Guayas,3 años,1058,1164,2025-10-22,Privado
Brand Manager,Corporación El Rosado,Comunicación Social,Azuay,3 años,1145,1370,2025-10-17,Privado
Coordinador de Publicidad,Ministerio de Salud,Comunicación Social,El Oro,1 año,703,903,2025-11-23,Público
Psicólogo Clínico,Cervecería Nacional,Medicina,El Oro,4 años,2584,3112,2025-11-10,Privado
Ejecutivo de Ventas,Repsol Ecuador,Marketing,Manabí,3 años,1237,1571,2025-10-15,Privado
Ejecutivo de Ventas,Corporación El Rosado,Marketing,Azuay,2 años,923,1135,2025-10-30,Privado
Nutricionista,La Fabril,Medicina,Guayas,Sin experiencia,1187,1396,2025-09-27,Privado
Brand Manager,Universidad San Francisco,Comunicación Social,Pichincha,2 años,978,1164,2025-10-02,Privado
Brand Manager,Diners Club,Comunicación Social,Guayas,2 años,915,1065,2025-09-09,Privado
Médico General,Universidad San Francisco,Medicina,Tungurahua,4 años,2389,2695,2025-10-25,Privado
Ingeniero Civil,Tecnipak,Ingeniería Eléctrica,El Oro,2 años,1273,1445,2025-11-24,Privado
Especialista en Ciberseguridad,Universidad San Francisco,Ingeniería en Sistemas,Tungurahua,1 año,1261,1397,2025-11-11,Privado
Ingeniero de Software,Moderna Alimentos,Ingeniería en Sistemas,Pichincha,5+ años,2604,2937,2025-09-20,Privado
Ingeniero Industrial,SRI,Ingeniería Eléctrica,Pichincha,Sin experiencia,924,1196,2025-10-20,Público
Tecnólogo Médico,Hospital Metropolitano,Medicina,Pichincha,2 años,1797,2172,2025-11-13,Privado
Tecnólogo Médico,Corporación El Rosado,Enfermería,Tungurahua,Sin experiencia,596,752,2025-11-03,Privado
Gerente de Operaciones,Claro Ecuador,Administración de Empresas,Guayas,3 años,1194,1467,2025-11-17,Privado
Desarrollador Full Stack,Ministerio de Educación,Ingeniería en Sistemas,Manabí,4 años,1744,1994,2025-10-06,Público
Contador,Grupo Wright,Administración de Empresas,Azuay,1 año,868,1086,2025-12-01,Privado
Médico General,Grupo Wright,Enfermería,Azuay,4 años,1118,1379,2025-12-05,Privado
Médico Especialista,Holcim Ecuador,Enfermería,Pichincha,1 año,658,728,2025-10-06,Privado
Brand Manager,Banco Pichincha,Comunicación Social,Azuay,4 años,1248,1517,2025-10-24,Privado
Ingeniero Industrial,Schlumberger,Ingeniería Eléctrica,Guayas,3 años,1432,1577,2025-11-26,Privado
Gerente de Marketing,Movistar Ecuador,Comunicación Social,Tungurahua,3 años,1023,1204,2025-10-02,Privado
Gerente de Marketing,Hospital Metropolitano,Comunicación Social,Guayas,Sin experiencia,579,667,2025-09-22,Privado
Brand Manager,Corporación Favorita,Marketing,Manabí,5+ años,1735,2134,2025-11-11,Privado
Fisioterapeuta,EP Petroecuador,Enfermería,Pichincha,3 años,890,1122,2025-10-03,Privado
Técnico Industrial,Produbanco,Ingeniería Civil,El Oro,1 año,1138,1453,2025-10-15,Privado
Coordinador Administrativo,Cervecería Nacional,Contabilidad y Auditoría,El Oro,3 años,1148,1392,2025-10-09,Privado
Ingeniero de Proyectos,Corporación Favorita,Ingeniería Civil,Azuay,1 año,992,1255,2025-10-19,Privado
Jefe de Mantenimiento,Repsol Ecuador,Ingeniería Civil,El Oro,4 años,1699,2203,2025-11-23,Privado
Coordinador Administrativo,Industrias Ales,Administración de Empresas,Tungurahua,Sin experiencia,733,922,2025-12-01,Privado
Ingeniero Mecánico,Nestlé Ecuador,Ingeniería Civil,Pichincha,3 años,1648,2016,2025-09-08,Privado
Community Manager,Produbanco,Marketing,Manabí,2 años,995,1207,2025-09-27,Privado
Médico General,Corporación GPF,Medicina,Guayas,Sin experiencia,1234,1597,2025-10-24,Privado
Psicólogo Clínico,Halliburton,Medicina,El Oro,1 año,1356,1700,2025-09-22,Privado
Diseñador Gráfico,Claro Ecuador,Marketing,Manabí,Sin experiencia,738,942,2025-10-03,Privado
Médico General,Industrias Ales,Medicina,Guayas,2 años,1625,1815,2025-10-07,Privado
Técnico Industrial,Movistar Ecuador,Ingeniería Industrial,Azuay,1 año,904,1096,2025-09-15,Privado
